,content
11,"'2023 나이트레이스 인 부산' 참가자들이 기념촬영을 하고 있다 .영원아웃도어 제공.
<br/>[파이낸셜뉴스] 글로벌 아웃도어 브랜드 노스페이스가 지난 7월 29일 저녁 부산 일대에서 개최된 '2023 나이트레이스 인 부산'의 공식 협찬사로 참여했다. 국민의 건강하고 활기찬 아웃도어·스포츠 활동에 조금이나마 기여하기 위해서다. <br/> <br/>7월 31일 노스페이스를 전개하는 영원아웃도어에 따르면 2023 나이트레이스 인 부산은 광안리 해수욕장에서 출발해 차가 없는 광안대교를 지나 벡스코까지 총 7.2㎞의 코스를 2만여명이 넘는 참가자들이 가득 메우는 등 성황리에 진행됐다. <br/> <br/>특히 올해 레이스는 한국전쟁 정전협정 70주년을 기념해 개최되면서, 블랙이글스 에어쇼를 비롯한 다양한 문화행사도 함께 병행됐다. <br/> <br/>이번 대회의 공식 협찬사로 참여한 노스페이스는 참가자 전원에게 노스페이스만의 차별화된 기술력과 노하우가 적용된 '레이스 티셔츠'를 제공하는 한편, 대회 성공 개최를 기원하는 이벤트도 병행했다. 노스페이스 공식 SNS에서는 대회 참가권과 레이스 키트를 제공하는 팔로우 이벤트를, 대회 공식 SNS 계정에서는 오행시 이벤트의 경품으로 노스페이스의 기술력이 담긴 트레일러닝화 '벡티브 엔듀리스 3'와 서머 슈즈 '리커버리 뮬'을 제공하기도 했다. <br/> <br/>영원아웃도어 관계자는 ""부산을 대표하는 레이스 이벤트에 동참하게 되어 매우 뜻깊었다""며 ""앞으로도 더 많은 분들께 특별한 아웃도어·스포츠 경험을 제공할 수 있도록 다양한 노력을 이어가겠다""라고 말했다."
12,"윤두현 의원 : 국민의힘 미디어정책조정특별위원회 위원장인 윤두현 의원이 31일 오전 국회 소통관에서 기자회견을 하고 있다. 윤 의원실.
與 미디어정책조정특위 위원장 윤두현 의원, 31일 국회 소통관 기자회견<br/><br/>文 정권 당시 만든 민주당 ‘공영방송 정상화 문건’ 언급, ""이게 방송 장악 시도""<br/><br/>""새 방통위원장, 좌편향 방송 개선 등 통해 공영방송의 균형 되찾아야""국민의힘은 31일 이동관 방송통신위원회 위원장 후보자 지명에 대해 ‘방송 장악 시도’라 주장하는 더불어민주당, 일부 언론사 등을 향해 ""‘방송 장악’과 ‘방송 정상화’를 구분하지 못하고 있다""며 ""가짜뉴스 근절과 미디어 생태계 복원에 동참하라""고 지적했다.<br/><br/><br/><br/>국민의힘 미디어정책조정특별위원회 위원장인 윤두현 의원은 이날 오전 국회 소통관에서 기자회견을 열고 이같이 밝혔다. 윤 의원은 ""MBC 뉴스데스크는 지난 28일 이 후보자 지명 소식을 전체 아이템 18개 중 무려 3분의 1 가량 할애해 보도했는데, ‘방송장악’ 이라는 반대 진영의 일방적 주장을 담아 보도했다""고 주장했다. 윤 의원은 민주당 언론자유대책특별위원회 위원장인 고민정 의원이 이 후보자를 향해 ""2010년 이명박 정부에서 만든 언론인 사찰, 블랙리스트 만든 사람을 방송통신위원장으로 인정해야 하느냐""고 밝힌 데 대해 ""인과 관계가 제대로 입증되지 않은 후보자를 맹비난했다""고도 지적했다.<br/><br/><br/><br/>윤 의원은 문재인 정부에서 더불어민주당이 공영방송 경영진 교체와 관련해 작성한 로드맵인 ‘공영방송 정상화 문건’을 거론하며 ""방송 장악을 누가 했느냐""고 비판했다. 윤 의원은 ""문 정부가 출범한 지 석 달이 겨우 지난 2017년 8월 배포됐다""며 ""이 문건이 민주당의 방송장악 시나리오이고 문건을 만든 자가 문재인 정권의 ‘괴벨스’""라고 주장했다. 윤 의원은 ""이른바 ‘언론적폐 청산’ 이후 공영, 준공영방송이라는 KBS와 MBC에서 각각 고대영, 김장겸 당시 사장이 쫓겨나는 등 문건 내용과 흡사하게 진행됐다""며 ""두 방송사는 민주노총 언론노조 중심으로 파업에 들어가고 고대영, 김장겸 두 사장 등 간부들에게 인격모독을 가한 반면, 거기에 앞장섰던 자들은 이후 사장 등 간부직을 싹쓸이하지 않았느냐""고 말했다. 이어 KBS의 양승동 전 사장과 김의철 현 사장, MBC의 최승호·박성제 전 사장 등을 ""문 정권 언론 장악의 하수인이고 수혜자""라고 했다.<br/><br/><br/><br/>윤 의원은 ""새 방통위원장의 소명은 공영방송이 지켜야 할 균형을 되찾고 국민의 방송으로 바로 세우고, 문 정권에 장악된 뒤 좌편향 노영화로 신뢰를 잃은 방송의 정상화에 있다""고 강조했다. 그는 민주당에 ""편파 보도로 국민 불신을 자초한 공영방송의 정상화, 확산 일로인 가짜뉴스 척결 등 미디어 생태계 복원에 동참해야 한다""고 지적했다.<br/><br/><br/><br/>최지영 기자"
13,배우 김민석이 31일 오후 서울 마포구 상암 MBC 골든마우스홀에서 진행된 시사교양 '빈집살래 시즌3-수리수리 마을수리' 제작발표회 참석해 포즈를 취하고 있다. <br/><br/> <br/> 한윤종 기자 hyj0709@segye.com
14,"한국고용정보원·한국산업기술진흥원건설 분야 일자리 3만8000개 감소5개 제조업에서는 4만2000개 증가
한국고용정보원 제공
올해 하반기 기계·조선·철강·반도체·자동차 분야는 지난해 같은 기간보다 일자리가 늘어나는 반면, 건설 분야는 줄어들 것이라는 전망이 나왔다. <br/>한국고용정보원과 한국산업기술진흥원은 31일 이 같은 내용이 담긴 ‘2023년 하반기 주요 업종의 일자리 전망’을 발표했다. 국내 8개 주력 제조업종과 건설업, 금융·보험업까지 총 10개 산업 분야에 대한 하반기 전망치가 담겼다. 전년 동기 대비 고용 증가율이 1.5% 이상이면 ‘증가’, -1.5% 이상 1.5% 미만이면 ‘유지’, -1.5% 미만이면 ‘감소’로 분류했다. <br/>일자리가 증가할 것으로 전망된 5개 산업군 가운데 예상 증가율은 조선(6.4%) 분야가 가장 높았고 이어 철강(2.9%), 반도체(2.8%), 자동차(2.7%), 기계(2.4%) 순이었다. 고용 인원 확대 규모로 따지면 △기계 1만9,000명 △자동차 1만 명 △조선 6,000명 △반도체 4,000명 △철강 3,000명 순이다.<br/>조선 분야는 전 세계적인 경기 침체 가능성에 따른 투자심리 위축으로 선박 발주량 자체는 축소될 것으로 전망됐다. 다만 국내 조선업이 강점을 가진 친환경 선박에 대한 수요 증가와 올해 선박류 수출액 증가(전년 대비 15.5%)의 영향으로 고용이 늘 것으로 예측됐다. <br/>철강 분야는 지난해 하반기 발생한 공급 차질 문제 해소와 선박 생산 본격화에 따른 수요 증가로 생산량이 늘 것으로 전망됐다. 반도체 분야는 국내 설비 투자가 증가하면서, 기계 분야는 수출과 내수 모두 증가하면서 각각 고용이 늘어날 전망이다.<br/>건설 분야 일자리는 3만8,000개(1.8%) 줄어들 것으로 예측됐다. 하반기에도 고금리가 유지되는 가운데 정부의 사회기반시설(SOC) 예산 축소, 부동산 프로젝트파이낸싱(PF) 부실 우려 등이 맞물리면서 공공은 물론 민간 주거용 건축 투자도 위축될 조짐이기 때문이다. <br/>전자, 섬유, 디스플레이, 금융·보험 등 나머지 4개 산업의 고용 규모는 현 수준이 유지될 것으로 예측됐다."
15,"부산진구는 오는 8월 2일부터 8일까지 6일 동안 NC백화점 서면점 내 1층 행사장에서“지역 우수 신발제품 특별 판매전”을 개최한다고 밝혔다. <br/> <br/> ‘신발특구’ 부산진구는 시장 경쟁력을 갖춘 우수 지역생산 신발제품을 발굴하여 판로를 지원하고 대형백화점과의 상생협력을 통해 지역경제 활성화를 도모하고자 이 행사를 마련하였다. <br/> <br/> 행사에 참여하는 13개 업체는 ▲기광산업 ▲로제니크 ▲프리토 ▲덤비슈 ▲태리제화 ▲페이퍼플레인키즈 ▲뽀너스 ▲언코리 ▲엑스퍼스 ▲비트로 ▲인터픽스(TMS) ▲뮬보이 ▲로핏스튜디오 등이다. <br/> <br/> 행사제품은 여름 휴가철 맞이 슬리퍼, 샌들 등 ‘23. S/S제품으로 구성하였고 가격대는 12,000~99,000원, 종류는 95종이다. <br/> <br/> 부산진구 관계자는 “이번 행사가 대형백화점과 소공인의 상생협력의 좋은 선례로 남아 지역 제품에 대한 인지도를 높이고, 나아가 소공인들이 백화점에 입점할 수 있는 시발점이 될 수 있도록 구민들의 적극적인 관심과 참여를 부탁드린다”고 전했다."
16,"부산진구 가야2동주민센터(동장 김현숙)는 28일 올해 하반기 중 65세를 맞이하는 주민 35명을 대상으로 생애전환기 어르신‘건강·복지’주민교육을 개최했다. <br/> <br/> 이날 교육은 1부 ‘보건복지서비스’, 2부 ‘건강관리’라는 주제로 나누어 찾아가는 보건복지팀 담당직원(사회복지 1명, 간호 1명)에 의해 진행되었으며 교육 후 질의응답과 개인별 맞춤상담을 실시하였다. <br/> <br/> 가야2동은 65세 이상 주민들이 이용할 수 있는 기초연금, 요금감면, 바우처 등의 다양하고 유익한 복지정보를 제공하고 신청 대행 및 서비스 연계를 지원하고 있다. 또한 혈압·혈당·총 콜레스테롤 측정 등의 기초건강사정과 개인별 맞춤 건강교육, 보건의료자원 연계를 통해 개인의 건강생활 실천 향상 및 건강증진을 도모하고자 한다. 상담을 희망하는 주민은 가야2동주민센터로 신청 문의하면 된다. <br/> <br/> 가야2동주민센터는 매년 연 2회 생애전환기 어르신‘건강·복지’ 주민교육을 통해 주민에게 더욱 다가가는 복지 및 건강서비스를 제공할 계획이다."
17,"부산진구(구청장 김영욱)는 전포어울더울 작은도서관 ‘들락날락’ 에서 가상현실 기술과 동화구연을 접목하여 어린이들이 동화 속 주인공이 되어 보는 놀이중심 「체험형 동화구연 교실」을 운영한다고 밝혔다. <br/> <br/> 대상은 5~7세 어린이(단체 견학 포함)이며, 기간은 이번 달부터 오는 12월까지 매주 토요일 오전 11시부터 12시까지 운영한다. <br/> <br/> ‘들락날락’이란 15분 생활권 내 디지털 기술･문화･학습 중심의 가족 공간으로 모두가 언제나 편안하게 접근할 수 있고 즐겁게 배우고 체험하는 공간의 의미를 가지고 있다. <br/> <br/> 김영욱 부산진구청장은 ""더 많은 어린이들이 15분 생활권 내 디지털 ICT 기술을 체험하고 즐거운 책 읽기 활동을 이어갈 수 있도록 미래놀이터 부산어린이복합문화공간 ‘들락날락’을 추가 확충하고 양질의 콘텐츠를 지속적으로 개발해나갈 계획이다”라고 말했다."
18,"거제시가 지역·민간 주도의 도시재생을 위해‘2023년 옥포 마을소셜네트워크 지원사업’참여자를 모집한다. <br/> <br/> 옥포의 온라인 채널을 활용한 정보 공유 및 의사소통으로 다양한 의견 수렴 기반을 확보하고 주민 커뮤니티 활성화를 위한 주민 체감형 도시재생 사업이 될 것으로 기대하고 있다. <br/> <br/> 이번 사업 분야는 ▲옥포 카카오톡 이모티콘(24종) 및 전용 서체(2종) 개발·제작 ▲옥포 유튜브 컨텐츠(9회) 개발·제작으로 구분되어 진행된다. <br/> <br/> 지원 자격은 거주지 및 소재지 무관으로 옥포동 도시재생사업에 관심이 있는 단체 및 모임(3인 이상)이면 누구나 참여할 수 있다. <br/> <br/> 시는 선정된 단체당 최대 1천만 원을 지원할 계획이며, 자세한 사항은 거제시 홈페이지 고시공고 또는 옥포지구 도시재생지원센터(☎ 055-687-7737)로 문의하면 안내받을 수 있다. <br/> <br/> 거제시 도시재생지원센터 관계자는“옥포지구 도시재생 뉴딜사업에 대한 주민 홍보를 강화하고, 마을소셜 네트워크 환경 구축 및 주민 의사소통 활성화 기반을 마련할 수 있도록 적극적으로 지원하겠다.”고 말했다."
19,"특색있는 제17회 거제섬꽃축제 무대공연과 세부 시행계획 자문을 위한 2차 회의가 7월 27일 거제시농업기술센터에서 개최됐다. 정석원 부시장을 위원장으로 각계의 전문가들로 구성된 자문위원회는 3시간에 가까운 시간 동안 거제섬꽃축제의 나아갈 방향에 대한 논의를 진행했다. <br/> <br/> 이번 회의에서는 경상남도 문화관광 대표축제의 위상에 맞는 수준 높은 무대공연을 위해 열린 공모를 통해 기대감 있는 무대연출을 제시한 업체를 선정했다. <br/> <br/> 또, 다양한 전시회의 구성을 위해 이전의 거제시 관내 동호인 전시회 수준이던 문화전시 분야를 외부 예술가를 유입해 이원화하자는 의견도 있었다. <br/> <br/> 그 외에도 행사장소와 한정된 예산의 범위를 벗어나, 거제섬꽃축제를 계기로 거제도 전체를 알릴 방안과 타 부서 프로그램 연계 방안 제시, 산재한 문화재를 함께 활용한 교육적인 프로그램 운영방안도 제시됐다. <br/> <br/> 한편 장마가 지난 무더위에 본격적인 축제 준비에 돌입한 거제시농업개발원에서는 노동자들의 많은 땀방울로 가을꽃과 국화를 키워내고 있다."
20,"거제시(시장 박종우)는 지난 31일, 주거비 지원을 통해 청년들의 안정적인 주거 기반을 마련하는 2023년 「거제시 청년 월세 지원사업」의 3차 참여자를 모집한다고 밝혔다. <br/> <br/> 거제시는 지난 1~2차 모집을 통해 「거제시 청년 월세 지원사업」의 참여 청년 48명을 최종 선정했으며, 선정된 청년은 10개월(2~11월)간 월 최대 15만 원의 임차료(연 최대 150만 원)를 지원받게 된다. <br/> <br/> 신청 자격은 공고일 기준 거제시에 주민등록을 두고 있고 부모님과 별도 거주하는 19~39세 이하 무주택 청년 세대주이며, 임차보증금 1억 원 이하 및 월 임차료 60만 원 이하 주택에 거주하고 가구소득이 기준중위소득 60% 초과 150% 이하인 조건을 모두 만족하여야 한다. <br/> <br/> 사업 참여를 희망하는 청년은 8. 11.(금)부터 8. 18.(금)까지 경남바로서비스(www.gyeongnam.go.kr/baro) 또는 거제시청 일자리창출과로 신청서류를 제출하면 되고, 신청자 중 가구 소득인정액이 낮은 순으로 19명의 청년이 3차 참여자로 최종 선정될 예정이다. <br/> <br/> 그 외 자세한 내용은 거제시청 홈페이지 고시/공고에 게재된 공고문을 참고하거나 거제시청 일자리창출과(☎055-639-4103)로 문의하면 된다."
21,"거제시보건소(소장 이종훈)는 집중 호우 및 폭염 등으로 감염병 발생위험이 증가함에 따라 여름철 집중 방역소독에 나선다. <br/> <br/> 위생 해충 및 감염병 발생 우려에 하수구, 하천, 재래시장, 공원, 풀숲, 유아숲체험원, 관광지 주변 등 방역취약지에 매개체 감염병 발생 감소 및 쾌적한 환경을 위해 집중 방역소독을 실시할 예정이다. <br/> <br/> 또한, 8월 7일부터 11일까지 5일간 면·동 방역소독사업 실태 점검도 실시한다. 방역소독 추진 현황 파악 및 애로사항 청취 등을 통해 지역별 특성에 따라 보건소와 면·동의 체계적인 방역시스템을 운영할 방침이다. <br/> <br/> 김영실 감염관리과장은 “여름철 집중 방역 실시 및 신속 방역기동반을 운영하여 방역민원을 신속하게 처리하고, 매개체를 통한 감염병 발생을 최소화하여 시민들의 건강 보호에 최선을 다하겠다”고 전했다."
