,content
43,"기재부, 6월 국세수입 현황
기재부 사옥 전경-세종청사 [기획재정부 제공]
올해 상반기 국세수입이 지난해 같은 기간보다 40조원 가까이 덜 걷혔다. 기업실적 부진과 부동산 거래 감소, 세정 지원에 따른 기저효과가 맞물리면서 나타난 현상이다. <br/> <br/><br/> 기획재정부는 이런 내용 등을 담은 6월 국세수입 현황을 31일 발표했다. <br/> <br/><br/> 올해 1∼6월 국세수입은 178조5000억원으로 지난해 같은 시점 대비 39조7000억원 감소했다. 또한 6월 국세수입 예산 대비 진도율은 44.6%이었다. <br/> <br/><br/> 연말까지 작년과 똑같은 수준의 세금을 걷는다고 해도 올해 세수는 세입 예산(400조5000억원) 대비 44조3000억원 부족하다. 세수 펑크가 갈수록 심각해지고 있다. <br/> <br/><br/> 6월 한 달간 국세수입은 18조 4000억원이었다. 1년 전 대비 3조3000억원 줄었다. 이 중 소득세 감소분이 2조 1000억원이었다. 부동산 거래 감소에 따른 양도소득세 감소가 영향을 미쳤다. 법인세는 원천분 증가로 5000억원 늘어났으나 부가가치세는 수입분 감소로 7000억원, 종합부동산세는 2022년 분납분 감소에 따라 2000억원, 관세는 수입 감소에 따라 4000억원 줄었다. <br/> <br/><br/> 정부는 6월까지 실질적인 세수 감소분이 39조7000억원이 아닌 29조 5000억원으로 추산하고 있다. 2021년과 2022년 하반기 세정 지원 이연세수 감소 등에서 발생한 기저효과 10조2000억원을 빼야 한다는 것이다. 정부는 올해 세수를 재추계해 8월 말 또는 9월 초에 발표할 예정이다."
44,"[머니투데이 남미래 기자] 헬스케어 스타트업 더블유닷에이아이가 스타트업 초기투자기관이자 팁스운영사인 더인벤션랩으로부터 3억원 규모로 시드 투자를 유치했다고 31일 밝혔다. <br/><br/>더블유닷에이아이는 초음파 이미지를 이용해 가슴성형, 유방재건 수술에 사용되는 인공유방보형물과 관련된 부작용과 다양한 종류의 보형물을 간단한 초음파 검사만으로 구별해내는 인공지능(AI) 프로그램을 개발한 팀이다. 이를 통해 전세계 여성이 가장 많이 하는 성형수술인 가슴 성형과 유방재건성형분야와 관련된 다양한 형태의 인공지능을 이용한 진단 서비스를 개발하고 있다. <br/><br/>창업자인 김재홍 대표는 20년 경력의 유방외과의사로 직접 개발에 참여하고 유방보형물 관련한 국내외 학술 활동을 통해 가슴성형에 활용되는 보형물 관련 지식과 경험을 전파해왔다.<br/><br/>이번 투자를 주도한 김진영 더인벤션랩 대표는 ""더블유닷에이아이는 식약처 허가 후 베타오픈을 통한 시스템 안정화, 그리고 국내 유방검진센터를 통한 임상적 유효성 입증을 앞두고 있다""며 ""글로벌 진출을 통해 질환이 아닌 성형분야에 전격적으로 도입되고 있는 인공지능 프로그램을 이용하여 글로벌 시장으로도 빠르게 진입할 수 있다""고 강조했다."
45,"혁신을 거듭해 온 아시아경제가 인공지능(AI) 기술을 효율적으로 활용해 보다 가치있고 완성도 있는 콘텐츠를 제공하고자 합니다. 이에 저널리즘의 기본 원칙을 반영한 ‘AI 활용 지침’을 제정했습니다. 앞으로 아시아경제는 지침을 준수하면서 독자 여러분에게 도움이 되는 정보를 제공하기 위해 더욱 최선을 다하겠습니다. <br/> <br/>1. AI는 콘텐츠 제작의 보조 수단일 뿐 언론인의 임무를 대체할 수 없으며 그 결과물에 대한 책임도 언론인에게 있음을 분명히 인식한다.2. AI가 제공한 정보의 정확성 및 출처의 적절성 등을 반드시 확인한다.3. AI가 생산한 콘텐츠를 사용하기에 앞서 신중하고 적절한 리뷰를 거친다.4. AI가 제작한 이미지, 오디오, 동영상 등을 사용할 경우 해당 사실을 명시한다.5. AI 기술 진화에 맞춰 본 지침을 수정·보완한다."
46,"듀오 세븐어스(SEVENUS)가 31일 오전 서울 강남구 일지아트홀에서 진행된 데뷔 앨범 싱글 1집 ‘썸어스(SUMMUS)’ 쇼케이스에서 타이틀곡 무대를 선보이고 있다. 김규빈 기자
듀오 세븐어스(SEVENUS)가 31일 오전 서울 강남구 일지아트홀에서 진행된 데뷔 앨범 싱글 1집 ‘썸어스(SUMMUS)’ 쇼케이스에서 타이틀곡 무대를 선보이고 있다. <br/> <br/><br/> <br/> <br/><br/> 타이틀곡 ‘원더랜드(Wonder Land)’는 팬들의 사랑으로 다시 한 번 기회를 얻은 세븐어스의 이야기를 여름 밤의 신비로움에 빗대어 표현했다. <br/> <br/><br/> <br/> <br/><br/> ‘썸어스’는 이날 정오 각종 음원 사이트를 통해 공개된다."
47,"(세종=뉴스1) 김기남 기자 = 정정훈 기획재정부 조세총괄정책관이 21일 오후 세종시 정부세종청사에서 2022년도 세제개편 후속 시행규칙 개정 주요 사항을 발표하고 있다. 2023.2.22/뉴스1 Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포 금지.
[머니투데이 세종=유재희 기자] <br/>올해 상반기(1~6월) 누계 국세수입은 178조원 수준으로 전년동기 대비 40조원가량 줄었다. 역대 최대 감소폭이다. 법인세·소득세 등을 중심으로 세수가 급감한 영향이다. <br/><br/>세입 목표 대비 실적을 보여주는 세수진도율도 역대급으로 부진하다. 세수진도율은 45%로 전년동기 대비 10%포인트(p) 넘게 낮은 수준이다. <br/><br/>기획재정부가 31일 발표한 '2023년 6월 국세수입 현황'에 따르면 지난 1~6월 국세수입은 178조5000억원으로 전년동기 대비 39조7000억원 감소했다. 이러한 세수 감소폭은 역대 최대다. 6월 한 달만 보면 국세수입은 18조4000억원으로 전년동월 대비 3조3000억원 감소했다.<br/><br/>올해 들어 6월까지 세수진도율은 44.6%로 전년동기(55.1%) 대비 10.5%p 낮다. 최근 5년 평균(2018~2022년·53.2%)과 비교해도 크게 저조하다. 지난달 기준 세수진도율은 2000년 이후 최저다.<br/><br/>1~6월 국세수입을 세목별로 보면 법인세는 46조7000억원 걷혔다. 지난해 기업의 영업이익 감소, 중간예납에 따른 기납부세액 증가 등을 요인으로 전년동기 대비 16조8000억원 감소했다. 다만 6월 한 달만 보면 전년동기 대비 5000억원 증가했다. 로열티 지급, 고금리 등을 이유로 원천분이 증가한 것이 요인이다.<br/><br/>소득세는 57조9000억원으로 부동산 거래 감소에 따른 양도소득세 감소, 종합소득세 기저효과(2021년 기준 소규모 자영업자 중간예납 납기연장) 등에 따라 전년동기 대비 11조6000억원 줄었다. 소득세 가운데서 양도세는 1조원 줄어든 9000억원 걷히는 데 그쳤다.<br/><br/>부가가치세는 전년동기 대비 4조5000억원 감소한 35조7000억원 걷혔다. 올해 전반적인 수입량 감소 흐름과 환율 안정을 요인으로 줄었다. 세정지원 기저효과(-3조4000억원)도 영향을 줬다. 관세는 3조5000억원 걷혔다. 이 또한 글로벌 교역망 위축 등 영향으로 2조원 줄었다. 교통에너지환경세는 5조3000억원 걷혔다. 유류세 한시 인하 등에 따라 7000억원 감소했다.<br/><br/>정부는 세정지원에 따른 기저효과(-10조2000억원)를 고려하면 1~6월의 실질적인 세수감소폭은 29조5000억원 수준이라고 밝혔다. 구체적으로 세수감소폭은 △종합소득세 2조4000억원 △법인세 △1조6000억원 △부가가치세 △3조4000억원 △기타 △2조8000억원 등이다.<br/><br/>정정훈 기재부 세제실장은 ""전반적으로 올해 6월까지 세수 흐름은 상반기에 어려웠던 경제 상황들이 반영되면서 감소세를 지속하고 있는 상황""이라고 설명했다."
48,"-교통대 총학생회 학생들이 서해안 해변가에서 환경정화활동을 벌이고 있다.
［충북일보］ 한국교통대학교 제40대 총학생회는 31일 2023학년도 국토대장정의 일환으로 서해안 해변가 환경정화를 진행했다. <br/><br/>이번 환경정화는 서해안 갯벌을 보존하고 홍보하는 체험을 통해 해양환경 보전을 목표로 진행하는 국토대장정의 일환으로 이뤄졌다. <br/><br/>총학생회 10명과 재학생 20명이 서천의 띠섬목 해변, 군산의 새만금방조제, 고창의 장호갯벌어촌계, 해남땅끝송호마을 등을 돌며 해양 환경정화 및 보전을 위한 활동을 실시했다. <br/><br/>윤승조 총장은 ""우리 학생들이 국토대장정의 일환으로 바다의 소중함을 알리고, 깨끗한 해양환경을 위한 환경정화를 진행한 것에 대해 감사하게 생각한다""며 ""앞으로도 생태환경에 관심을 갖고, 지역과 함께하는 교통대 학생이 됐으면 한다""고 말했다. <br/><br/> 충주 / 윤호노기자"
49,더불어민주당이 스타트업의 기술탈취 피해를 예방하기 위해 징벌적 손해배상을 ‘최대 10배’ 강화하는 법안을 추진한다. 앞서 국민의힘과 정부가 띄운 ‘최대 5배’ 강화안을 크게 웃도는 방안이다. 여야가 스타트업 기술보호 공감대를 형성하면서 연내 법안 처리 가능성에 관심이 모아진다. <br/> <br/> 31일 헤럴드경제의 취재에 따르면 국회 산업통상자원중소벤처기업위원회 야당 간사인 김한정 민주당 의원은 스타트업으로부터 기술을 탈취한 기업에게 피해액의 최대 10배에 해당하는 손해배상을 물을 수 있도록 하는 ‘대·중소기업 상생협력 촉진에 관한 법률(이하 상생협력법) 개정안’을 추진 중이다. 의원실 관계자는 “현재 법제실 검토 중으로 8월 중 발의할 예정”이라고 말했다. <br/> <br/> 현행 상생협력법은 수·위탁거래 관계에서 발생한 기술탈취 행위에 대해 피해액의 ‘최대 3배’까지 배상하도록 규정하고 있다. 김 의원이 추진 중인 법안은 기술탈취 피해 예방과 구제의 실효성을 높이기 위해 이를 강화하는 게 골자다. <br/> <br/> 스타트업 기술탈취 피해에 대한 손해배상 강화 필요성은 여야 모두 공감하고 있는 상황이다. 지난 6월7일 국민의힘과 정부는 당정협의회를 열고 기술탈취에 대한 징벌적 손해배상을 ‘최대 5배’로 강화하는 안을 추진하겠다고 밝힌 바 있다. 김 의원실 관계자는 “민주당은 이전부터 손해배상 강화를 주장했지만 당시 다른 법과 형평성을 고려해야 한다는 의견이 있어 3배로 정해진 것”이라며 “최근 산업 환경이 급격하게 변하고 기술탈취로 인한 피해 사례가 늘어나고 있다. 3배나 5배는 실효성이 부족하다”고 주장했다. <br/> <br/> 개정안은 이르면 9월 정기국회에서 본격적으로 다뤄질 전망이다. 징벌적 손해배상을 최대 ‘몇 배’까지 물을 수 있도록 할지가 쟁점이 될 것으로 보인다. 대기업의 반발이 예상되지만 동시에 여야 공감대를 바탕으로 연내 통과를 기대하는 목소리도 나온다. 산자위 관계자는 지난해 11월 국회를 통과한 납품단가연동제를 거론하며 “여야가 취지에 공감하면서 정부안이 발의된 지 3개월 만에 통과된 사례다. (상생협력법도) 정기국회에서 처리될 가능성이 있다”고 말했다. 민주당 관계자도 “논의가 잘 이뤄질 경우 좋은 여야 협치 사례가 될 것”이라고 했다. <br/> <br/> 스타트업 업계도 개정안 논의를 환영하고 있다. 김진·양근혁 기자 <br/> <br/><br/> <br/> yg@heraldcorp.com
50,"

					더불어민주당이 스타트업의 기술탈취 피해를 예방하기 위해 징벌적 손해배상을 ‘최대 10배’ 강화하는 법안을 추진한다. 앞서 국민의힘과 정부가 띄운 ‘최대 5배’ 강화안을 크게 웃도는 방안이다. 여야가 스타트업 기술보호 공감대를 형성하면서 연내 법안 처리 가능성에 관심이 모아진다. <br/> <br/> 31일 헤럴드경제의 취재에 따르면 국회 산업통상자원중소벤처기업위원회 야당 간사인 김한정 민주당 의원은 스타트업으로부터 기술을 탈취한 기업에게 피해액의 최대 10배에 해당하는 손해배상을 물을 수 있도록 하는 ‘대·중소기업 상생협력 촉진에 관한 법률(이하 상생협력법) 개정안’을 추진 중이다. 의원실 관계자는 “현재 법제실 검토 중으로 8월 중 발의할 예정”이라고 말했다. <br/> <br/> 현행 상생협력법은 수·위탁거래 관계에서 발생한 기술탈취 행위에 대해 피해액의 ‘최대 3배’까지 배상하도록 규정하고 있다. 김 의원이 추진 중인 법안은 기술탈취 피해 예방과 구제의 실효성을 높이기 위해 이를 강화하는 게 골자다. <br/> <br/> 스타트업 기술탈취 피해에 대한 손해배상 강화 필요성은 여야 모두 공감하고 있는 상황이다. 지난 6월7일 국민의힘과 정부는 당정협의회를 열고 기술탈취에 대한 징벌적 손해배상을 ‘최대 5배’로 강화하는 안을 추진하겠다고 밝힌 바 있다. 김 의원실 관계자는 “민주당은 이전부터 손해배상 강화를 주장했지만 당시 다른 법과 형평성을 고려해야 한다는 의견이 있어 3배로 정해진 것”이라며 “최근 산업 환경이 급격하게 변하고 기술탈취로 인한 피해 사례가 늘어나고 있다. 3배나 5배는 실효성이 부족하다”고 주장했다. <br/> <br/> 개정안은 이르면 9월 정기국회에서 본격적으로 다뤄질 전망이다. 징벌적 손해배상을 최대 ‘몇 배’까지 물을 수 있도록 할지가 쟁점이 될 것으로 보인다. 대기업의 반발이 예상되지만 동시에 여야 공감대를 바탕으로 연내 통과를 기대하는 목소리도 나온다. 산자위 관계자는 지난해 11월 국회를 통과한 납품단가연동제를 거론하며 “여야가 취지에 공감하면서 정부안이 발의된 지 3개월 만에 통과된 사례다. (상생협력법도) 정기국회에서 처리될 가능성이 있다”고 말했다. 민주당 관계자도 “논의가 잘 이뤄질 경우 좋은 여야 협치 사례가 될 것”이라고 했다. <br/> <br/> 스타트업 업계도 개정안 논의를 환영하고 있다. 김진·양근혁 기자 <br/> <br/><br/> <br/> yg@heraldcorp.com					
				"
51,"[헤럴드경제=홍태화 기자] 해양수산부가 9월 한 달간 섬 지역 주민들의 택배 요금에 대한 추가 배송비를 지원한다. 추석 민생안정을 위해서다. <br/> <br/> 해수부는 지원 대상과 신청 기간, 지원 금액, 지원금 지급일자 등 자세한 내용을 각 지자체에서 별도로 안내할 예정이라며 31일 이같이 밝혔다. 이를 위해 지자체별로 8월부터 미리 섬 주민들에게 지원사업을 설명하고 신청서를 받을 계획이다. <br/> <br/> 섬 지역 주민들은 택배를 이용할 때마다 기본요금 외에 별도의 추가 배송비를 3000∼1만원 가까이 지불해야 해 비용 부담이 큰 상황이다. <br/> <br/> 추가 배송비를 지원받고자 하는 섬 주민은 지자체별 신청 기간에 따라 거주하고 있는 읍·면·동 행정복지센터에 방문해 신청서를 제출하면 된다. 지자체는 택배 이용정보를 확인한 뒤 신청인의 계좌로 지원금을 지급할 계획이다. <br/> <br/><br/> <br/> th5@heraldcorp.com"
52,"내달 18일 미국에서 한미일 3국 정상회의가 개최된다. 큰 틀에서는 지난 27일 정전협정 체결 70주년을 맞아 북한이 개최한 이른바 ‘전승절’ 행사를 계기로 북중러가 ‘반(反)서방 연대’에 한층 격을 높인 ‘한미일 밀착 공조’로 맞대응하는 의미가 있다. <br/> <br/> 이외에도 우리로서는 8·15 광복절 직후 일본 총리와 정상회담을 하는 이례적인 상황이 연출된다. 일본이 8월 후쿠시마 제1원전 오염수 방출을 개시할 가능성이 높은 상황에서 이번 한미일 정상회의가 어떤 영향을 미칠지도 관전 포인트다. <br/> <br/> 한미 양국은 조 바이든 미국 대통령과 윤석열 대통령, 기시다 후미오(岸田文雄) 일본 총리는 내달 18일(현지시간) 워싱턴 DC 인근 메릴랜드주에 위치한 대통령 별장인 ‘캠프 데이비드’에서 정상회의를 개최한다고 공식 발표했다. 이번 정상회의는 지난 5월 일본 히로시마에서 열린 주요 7개국(G7) 정상회의 계기에 바이든 대통령이 한일 정상을 초청하면서 성사됐다. <br/> <br/> 백악관은 “미일, 한미 간 굳건한 동맹과 강력한 우정을 재확인하면서 3국 관계의 새로운 장을 축하하게 될 것”이라고 밝혔다. 대통령실은 “핵심가치를 공유하는 3국 간 협력을 새로운 수준으로 발전시켜 나갈 수 있는 중요한 전기가 될 것”이라고 밝혔다. <br/> <br/> 한미일 정상회의 개최 일자가 광복절 직후라는 점에 의미가 있다. 대한민국 대통령이 한반도가 일본 제국으로부터 독립한 의미를 되새기는 국경일을 축하한 직후 일본 총리와 대면하는 것이다. 윤석열 정부 출범 후 이어온 한일 관계 개선 흐름에 방점을 찍을 것으로 보인다. 바이든 대통령은 지난 29일(현지시간) “한국과 일본은 2차 대전으로부터 화해(rapprochement)를 했다”며 “근본적인 변화”라고 의미를 부여했다. <br/> <br/> 일본으로서는 8월 후쿠시마 제1원전 오염수 방출을 예고한 상황에서 한미일 정상회의를 통해 국제사회의 지지를 확보하는 데 방점을 둘 것으로 보인다. 일본의 최대 우방국인 미국과 오염수 방출에 중요한 여론을 형성하는 한국의 지지를 확보하는 것이 관건이다. 기시다 총리는 지난 5월 G7 정상회의를 자신의 지역구인 후쿠시마에서 개최하며 여론에 공을 들였다. 미국은 국제원자력기구(IAEA)가 일본의 오염수 방출 계획이 안전 기준에 부합한다는 보고서 직후 “일본이 개방적이고 투명하게 관리해 왔다”며 사실상 지지를 표했다. <br/> <br/> 미국으로서는 북한의 ‘전승절’을 계기로 전략적 공조를 과시한 북중러에 대응해 중국과 러시아를 견제하는 데 주력할 것으로 보인다. 이번 정상회의는 바이든 대통령 취임 후 첫 ‘캠프 데이비드 외교’ 일정이라는 의미가 있다. 미국 대통령과 가족들을 위한 전용 별장인 캠프 데이비드는 백악관보다 사적인 공간으로 친밀감을 상징한다. 또한 역사적으로 중요한 합의를 도출하거나 적대 국가와의 관계 개선을 이뤄낸 주요 외교의 장소로도 활용됐다. 우리나라 대통령으로서는 2008년 이명박 대통령 이후 두 번째 방문이다. <br/> <br/> 이번 정상회의에서는 ▷북핵 대응 공조 ▷아세안·메콩·태평양도서국 등 인도태평양 지역에서의 3국 협력 확대 방안 ▷공급망 협력 및 경제안보 ▷글로벌 현안 등 폭넓은 의제를 집중적으로 논의한다. 지난해 11월 발표한 ‘프놈펜 성명’ 수준의 공동성명이 발표될지 주목된다. <br/> <br/> 3국 관계의 ‘새로운 장’이라는 평가가 나오는 만큼 단독 한미일 정상회의가 정례화되는 방안이 논의될지 주목된다. 최은지 기자, 박상현 기자 <br/> <br/><br/> <br/> silverpaper@heraldcorp.com"
53,"8월1일 0시부터 선거운동 현수막·유인물을 아무 때나 제한 없이 배포할 수 있게 된다. 헌법재판소가 헌법불합치 결정을 내린 공직선거법 조항을 국회가 제때 손보지 않으면서 ‘법적 공백’이 발생한 것이다. 오는 10월 예정된 강서구청장 보궐선거를 앞두고 ‘선거운동 난립’을 우려하는 목소리가 나오는 가운데, 여야는 8월 임시국회에서 개정안을 반드시 통과시키겠다는 입장이다. <br/> <br/> 31일 헤럴드경제 취재를 종합하면 선거일 180일 전부터 선거운동과 관련한 현수막이나 화환, 유인물 등 광고물을 설치·진열·배부하는 행위를 금지한 공직선거법 제90조 1항과 이에 대한 처벌 조항은 8월1일 0시부터 효력을 잃는다. 같은 기간 정당·후보자를 명시한 벽보나 사진·그림·녹음테이프 등을 배부·살포하는 제93조 1항과 그 처벌 조항도 마찬가지다. 지난해 7월 헌법재판소가 해당 조항들에 헌법불합치 결정을 내리면서 올해 7월31일까지만 효력을 인정한다고 판결했지만, 국회가 시한 내 법을 개정하지 못했기 때문이다. <br/> <br/> 정치권에서는 오는 10월 치러지는 강서구청장 보궐선거를 앞두고 당장 우려의 목소리가 나온다. 각 정당별 경선이 시작되면 후보자뿐 아니라 지지자나 반대 진영에서도 마음대로 현수막을 걸거나 유인물을 뿌릴 수 있어서다. 상대를 비방하는 내용의 벽보를 게시하거나 음성 살포도 제한받지 않게 된다. <br/> <br/> 지난해 말 정당 현수막 제한을 없앤 개정 옥외광고물법 시행 직후 원색적인 문구를 담은 현수막이 전국 곳곳에 난립하며 시민들의 원성을 샀는데, 이를 뛰어넘는 사태가 발생할 수 있다는 지적이다. <br/> <br/> 이 같은 법적 공백이 발생한 건 여야가 뒤늦게 관련법 개정안 심사에 착수한 탓이 크다. 국회 정치개혁특별위원회는 이달 13일에야 시설물 설치 금지 기간을 ‘선거일 180일 전’을 ‘120일 전’으로 줄이는 내용이 담긴 개정안을 통과시켰는데, 여기에는 선거운동 기간 허용되는 모임 기준을 담은 조항(103조 3항) 개정 사안도 포함됐다. <br/> <br/> 정개특위는 향우회·종친회·동창회·단합대회·야유회 등 제한을 받는 모임은 그대로 두되, 참가인원이 ‘30명’을 초과할 때만 모임을 금지하도록 했다. <br/> <br/> 본회의 직전 마지막 문턱인 법제사법위 소속 여당 위원들은 모임 기준을 놓고 문제를 제기했다. <br/> <br/> 여야는 8월 말 본회의에서 개정안을 처리하겠다는 입장이다. 여당 원내지도부 핵심 관계자는 “이번 개정안이 통과되면 (부작용이 생기더라도) 내년 총선까지 고치기가 쉽지 않다”며 “정개특위에서 충분히 논의되지 못한 부분이 있어 추가 조정을 거친 뒤 8월 통과시킬 방침”이라고 말했다. <br/> <br/> 김진 기자 <br/> <br/><br/> <br/> soho0902@heraldcorp.com"
54,"박영수 전 특검 [연합뉴스 자료사진]
[1보] 검찰, '50억 클럽' 박영수 구속영장 재청구"
55,"광명시 탄소중립 정책, 매니페스토 기후환경 분야 우수상 수상./사진제공=광명시
[머니투데이 경기=권현수 기자] 경기 광명시 탄소중립 정책의 우수성이 다시 한번 인정받았다.<br/><br/>광명시는 한국매니페스토실천본부에서 주최한 '제13회 2023 전국 기초단체장 매니페스토 우수사례 경진대회'에서 기후환경분야 '우수상'에 선정됐다고 31일 밝혔다.<br/><br/>이 대회는 기초자치단체장 공약 이행 우수사례를 발굴해 확산하기 위한 대회로 한국매니페스토실천본부가 주최했다. <br/><br/>이번 대회에는 전국 226개 기초지자체 중 155개 자치단체가 364개의 우수사례를 공모했으며 1차 서류심사를 통과한 172개 사례가 본 대회에서 경연을 펼쳤다.<br/><br/>선정 분야는 광명시가 우수상을 차지한 기후환경 분야를 비롯해 △일자리 및 고용개선 완화 △인구 구조변화 대응 △디지털 혁신 선도 △지역문화 활성화 △공동체 강화 등 7개이다.<br/><br/>시는 '탄소중립 광명하다'를 주제로 시민이 주도하는 탄소중립 활동인 1.5℃ 기후의병, 기후의병 탄소중립 포인트 시행, 수소에너지 인프라구축, 제로에너지건축물 추진 등을 발표해 호평 받았다. <br/><br/>박승원 광명시장은 ""선도적인 기후 위기 대응 정책을 통해 탄소중립을 실천해온 광명시의 노력이 다시 한번 우수성을 인정받았다""고 평가하고 ""시정 역량을 더욱 집중하고 시민의 관심과 참여를 확대해 탄소중립도시를 반드시 실현하겠다""고 강조했다.<br/><br/>시는 탄소중립 실현을 위해 지난 7월6일 '2050 탄소중립도시 선포식'을 개최하고 6대 전략 100개 추진과제를 시행하고 있다. 6대 추진전략은 △탄소중립 인재 양성 및 인식 제고 △탄소중립 생태계 구축 및 강화 △광명형 탄소중립 성공모델 개발·확산 △탄소중립 선도 거점 구축 △시민 주도 탄소중립 활성화 △탄소중립 거버넌스 구축 및 지원이다."
56,"수석비서관회의 주재하며 원희룡 국토부 장관에 지시
◇윤석열 대통령 [연합뉴스 자료사진]
윤석열 대통령은 31일 한국토지주택공사(LH) 발주 아파트의 철근 누락 문제를 보고받고 ""아파트 지하 주차장 부실 공사에 대해 전수 조사하고, 즉시 안전 조치에 만전을 기하라""고 지시했다. <br/> <br/> 윤 대통령은 이날 오전 용산 대통령실에서 수석비서관회의를 주재하며 원희룡 국토교통부 장관에게 이같이 지시했다고 이도운 대변인이 서면 브리핑을 통해 전했다. <br/> <br/> 원 장관은 전날 ""설계 및 감리 책임자에 대해 가장 무거운 징계 조치와 함께 즉각 수사 의뢰, 고발 조치를 해달라""고 지시한 바 있다. <br/> <br/> 앞서 인천 검단의 신축 아파트 지하주차장 붕괴 사고 원인으로 꼽히는 '철근 누락'이 다른 아파트 단지에서도 무더기로 확인됐다. <br/> <br/> 검단 아파트처럼 지하주차장에 무량판 구조를 적용한 한국토지주택공사(LH) 발주 아파트를 전수 조사한 결과 15개 단지에서 있어야 할 철근이 빠져 있었다. <br/> <br/> 정부는 민간 발주 아파트 100여곳에 대한 안전점검도 진행할 예정이라, 철근 누락 아파트는 추가로 더 나올 수 있다. <br/> <br/> 국토교통부는 지난 30일 오후 LH 서울지역본부에서 원 장관 주재로 가진 '공공주택 긴급안전점검 회의'에서 LH는 지하주차장에 무량판 구조를 적용한 91개 LH 발주 단지에 대한 전수조사 결과를 보고했다. <br/> <br/> 91개 단지 중 이미 준공된 단지는 38개(38%), 공사 중인 단지는 56개(62%)다. <br/> <br/> 조사 결과 15개 아파트 단지 지하주차장에 '전단보강근'이 제대로 설치되지 않은 것으로 확인됐다. <br/> <br/> 무량판 구조는 보 없이 기둥이 직접 슬래브를 지지하기 때문에 기둥이 하중을 견딜 수 있도록 철근을 튼튼하게 감아줘야 한다. 그런데 필요한 만큼의 철근을 쓰지 않았다는 것이다. <br/> <br/> 10개 단지는 설계 미흡으로 철근이 빠져 있었다. <br/> <br/> 구조계산이 제대로 되지 않았거나, 구조계산은 제대로 됐으나 설계 도면에 전단보강근 표기를 빠뜨린 사례가 나왔다. <br/> <br/> 5개 단지는 시공이 미흡한 것으로 나타났다. <br/> <br/> 철근이 빠진 15개 아파트의 콘크리트 강도는 설계 기준 강도를 초과한 것으로 조사됐다. <br/> <br/> 문제가 드러난 곳 중 이미 입주를 마친 곳은 5개 단지다. <br/> <br/> LH는 입주한 4개 단지에서 정밀안전점검을 추진 중이며, 이 단지에서는 보완 공사를 할 예정이다. 1개 단지에 대해서는 현재 보완 공사를 진행하고 있다. <br/> <br/> 입주 전인 단지 10개 단지다. <br/> <br/> 입주 전 단지 중 6개 단지는 보완 공사 중이며, 4개 단지는 입주 전 보완 공사가 마칠 예정이라고 LH는 밝혔다. <br/> <br/> 원 장관은 LH에 ""무량판 구조로 설계·시공하면서 전단보강근 등 필수 설계와 시공 누락이 생기게 한 설계와 감리 책임자에 대해 가장 무거운 징계 조치와 함께 즉각 수사 의뢰, 고발 조치를 해달라""고 촉구했다. <br/> <br/> 이한준 LH 사장은 ""(철근 누락) 15개 단지의 설계·감리가 언제 발주됐고, 여기에 관여된 사람은 누구인지 조사해 한 치의 의혹도 남지 않도록 관련자가 책임지게 하겠다""고 말했다. <br/> <br/> 원 장관과 이 사장은 LH 철근 누락과 경기 시흥 은계지구 상수관 문제에 대해 고개 숙여 사과하고, 주민 불안을 해소할 수 있는 조치를 하겠다고 밝혔다. <br/> <br/> 원 장관은 ""전면적인 인사 조처와 수사 의뢰, 고발 조치 등 국민 신뢰를 회복할 수 있는 모든 조치를 다 하겠다""며 ""이런 일이 벌어지게 된 데 대해 국민 앞에 고개 숙여 사죄드린다""고 밝혔다."
